timestamp,px,py,vx,vy,pm1,pm2,pm3,pm4,vm1,vm2,vm3,vm4,dist_from_origin,dist_bin
1765807760.026239,0.1037384706508936,0.24319264171459,-73.61806806201778,-41.15124539211553,-255,85,-255,85,0,0,0,0,0.2643942723984528,4
1765782889.0170171,0.305805898402308,-1.2183365318652406,-74.375179835285,-40.67576756105536,-255,141,-57,-199,0,0,0,0,1.2561294329706096,20
1765788816.3192885,0.1014242252472421,0.3683368876906724,-74.20115071329735,-40.921477327092624,28,-29,-29,28,0,0,0,0,0.3820457254055518,6
1765770995.8083825,0.1593614559908011,0.2394135002491194,-73.05053724861276,-41.22189565353578,-142,113,141,-142,0,0,0,0,0.2876019780130921,4
1765820545.7475705,0.1345114574706489,0.3676659336634862,-73.84996277835478,-41.17366220994752,113,141,-29,0,0,0,0,0,0.39149913278003723,6
1765850839.7293756,-0.5256545072803492,2.352538171614972,-74.4301776728366,-41.18490887606908,250,-250,-250,-150,0,0,0,0,2.410549420760683,39
1765848171.6454697,1.2975378966298945,0.2078485878201525,-74.16439153950125,-40.683753152342426,-195,-195,170,200,0,0,0,0,1.3140797649494351,21
1765796270.3878348,-1.6446951539972865,0.8987732160454887,-73.7754833898612,-40.91423470060257,255,255,-255,0,0,0,0,0,1.8742506351774055,30
1765800554.9841948,0.6564428942486616,0.6330127221097099,-74.73111079987241,-41.02085033949754,-29,-255,-29,-199,0,0,0,0,0.911933319800469,15
1765802191.573635,1.1093209813768965,1.0011459721956395,-72.36568695064247,-41.29021759503464,113,-255,0,141,0,0,0,0,1.4942845436417231,24
1765850592.7791476,-0.1496035172598974,2.5802222073549075,-74.41927876471661,-40.75998837355477,250,-250,-250,227,0,0,0,0,2.584555639119414,42
1765819275.0987823,0.1857868862315337,0.4601228740168611,-73.35803836579291,-40.89087737065988,255,0,255,0,0,0,0,0,0.49621550387824953,8
1765772434.17612,0.0318262773768556,0.0069973230398538,-73.65505003151195,-41.240644833221694,85,85,85,-170,0,0,0,0,0.03258641528908357,0
1765783992.9483335,-0.7669504479394269,-0.674724072310274,-73.62382621507905,-40.84807657218287,-255,255,-255,0,0,0,0,0,1.0215016218046096,16
1765768167.8813145,0.0025377837718448,0.0419841477097617,-74.18788563563314,-40.38865151295804,-199,-29,-199,28,0,0,0,0,0.04206077751763188,0
1765786274.0203552,-1.310829123831233,0.348851324958297,-74.21167226300717,-40.154450474382216,0,255,-255,-29,0,0,0,0,1.3564550264602648,22
1765771733.7952597,0.93061596696336,-0.8136605088704181,-74.68797139326149,-40.56994498679167,-255,0,170,85,0,0,0,0,1.2361591732711517,20
1765771646.384266,0.1426282328726972,0.3877669006538731,-73.39343256350493,-40.62800152008504,255,0,255,0,0,0,0,0,0.4131658045568377,6
1765806408.0590825,0.0889002829330109,0.3959278005338194,-74.14630357961065,-40.6917412150435,0,-114,-114,141,0,0,0,0,0.40578576064361505,6
1765848794.0674293,1.531828958864763,0.8097584932802069,-73.40949546068153,-41.29834335354296,-225,-225,-170,230,0,0,0,0,1.7326883091474168,28
1765795916.6483092,0.0351439920816592,0.5348532064707179,-73.89699401995624,-40.71217134853551,170,85,85,0,0,0,0,0,0.5360065789255242,8
1765771640.2837057,0.4911922910338082,-0.0386024307640914,-73.60916468256985,-41.08746115261467,198,28,255,-29,0,0,0,0,0.49270682401600424,8
1765850714.1510446,-0.1665959401723585,2.5948398547683347,-74.4712609756469,-40.790885332597234,250,-250,-250,223,0,0,0,0,2.600182316526298,42
1765848492.55888,1.6057499470773926,-0.0335828004683149,-75.05027690548759,-40.184228435484414,-215,-215,220,210,0,0,0,0,1.6061010855566793,26
1765848619.0317416,-0.7626355835032247,1.7784249598034307,-73.90015235892942,-40.28827805667629,225,-220,-220,-190,0,0,0,0,1.9350473820754721,31
1765818103.0603557,0.194967734798283,0.1093932427617271,-74.13806936832285,-41.01004293565049,-255,-29,-227,28,0,0,0,0,0.2235605045044848,3
1765850356.954223,-0.5712598166925761,2.3747763524877628,-74.53596262131806,-40.88456833382923,250,-245,-245,-150,0,0,0,0,2.4425192941925187,40
1765781983.3105085,-0.0195479822800038,0.1206114764378075,-73.91765576899756,-40.986463493885104,85,170,-85,0,0,0,0,0,0.12218531769295006,1
1765801459.686276,0.0999401495163015,0.4094497099824483,-73.48526562602652,-41.07161947864138,56,255,-57,255,0,0,0,0,0.42147016322635666,6
1765788556.0901232,0.1154363780702154,0.0297088983800024,-73.40952838618422,-40.87199178872893,0,170,170,85,0,0,0,0,0.1191980537799297,1
1765850000.9385958,-0.1114378100683732,2.566006791682609,-73.38905076913974,-41.52427085668013,245,-245,-245,217,0,0,0,0,2.568425439928929,42
1765845172.2569337,-1.2173701681714566,1.8962875083151336,-73.68992008472115,-41.89568377199523,250,-240,-245,-245,0,0,0,0,2.2534188338047185,37
1765805515.5540082,-1.197303054145328,0.1959749987329429,-73.50783176409195,-40.96863845393113,28,255,-227,0,0,0,0,0,1.213235675206638,19
1765849369.4528134,-1.7196498685833237,-1.094801064352693,-73.81249256362442,-41.7991032619552,-195,238,-238,-238,0,0,0,0,2.0385742667429194,33
1765763077.1904004,0.6828304722448567,1.091933448996052,-73.68579171120453,-41.038847295449465,-199,56,-199,255,0,0,0,0,1.2878571779753172,21
1765814977.2949357,1.325677659164712,0.4096065130728413,-72.97233140858135,-40.65620737649618,-57,-142,255,255,0,0,0,0,1.3875153157929905,22
1765819231.3929162,0.0447094587238681,0.2234673004820304,-73.7218677682483,-40.536245696959774,0,170,85,85,0,0,0,0,0.2278959632905053,3
1765794360.3688407,0.7451986415682478,1.1666104355553335,-73.66902839432935,-40.92323432752716,-199,-142,-199,255,0,0,0,0,1.3843052133622002,22
1765804901.5815494,0.7372697152426839,-0.637891563479343,-74.12535662520813,-41.20657252098236,-255,56,141,141,0,0,0,0,0.9749216787886854,16
1765769780.0662062,0.1233078485871979,-1.156163955253962,-73.48581939134294,-40.75434338263635,-29,-29,255,-255,0,0,0,0,1.16272091103226,19
1765848033.681123,-0.0669969036583544,-1.1201102628200308,-73.61783228377337,-41.933670622910746,-175,175,180,-180,0,0,0,0,1.1221121093609878,18
1765848125.988897,-0.7177443132723602,0.5022915188612505,-74.77871262162994,-41.80844129880136,190,-165,-185,-185,0,0,0,0,0.8760443305876444,14
1765775454.2380447,0.1329434237708571,0.2976138005243815,-73.59061689128941,-41.29370874811834,85,0,-85,85,0,0,0,0,0.3259569422277796,5
1765850293.3530793,-0.2843528161296259,-2.352895058652644,-74.3085931324726,-40.88904195363367,-245,240,250,-250,0,0,0,0,2.3700151225409676,39
1765844956.9595397,-0.3268352699499136,1.3313027361643008,-74.27438744842165,-41.876784332404576,200,-195,-195,-150,0,0,0,0,1.370834880283467,22
1765771070.0168886,0.1253649828766763,0.285658399894082,-74.3475109427591,-40.85151242095972,85,-85,85,85,0,0,0,0,0.31195688862680465,5
1765760416.98262,1.0270532853326142,1.304638915019704,-74.15831364635835,-40.86304224673404,-29,-199,0,255,0,0,0,0,1.660397888909856,27
