timestamp,px,py,vx,vy,pm1,pm2,pm3,pm4,vm1,vm2,vm3,vm4
1759990490.4588616,0.8974414342956109,1.2904323149952313,-65.61664785391459,-82.95308221094915,-255,255,-255,0,0,0,0,0
1759990496.5648508,0.6443720077711051,0.8346698709533222,-65.97205342172062,-84.93429625213756,-199,226,-199,28,0,0,0,0
1759990502.670757,0.38493723010576825,0.6408644964145127,-65.64896745011822,-85.06325993783163,-142,198,-142,56,0,0,0,0
1759990508.7767825,0.17365458647568108,0.3367659705936822,-67.4515076749963,-83.69201062958746,-85,170,-85,85,0,0,0,0
1759990514.8827574,0.012139286348026593,0.0023200719788073563,-66.35504817850816,-85.5878680694967,-29,141,-29,113,0,0,0,0
1759990520.988817,0.01234813695555641,0.0063728155452841195,-66.4148163491869,-84.92422896636647,28,113,28,141,0,0,0,0
1759990527.0947435,-0.21930317296094107,-0.13402679529789252,-66.14052741828272,-85.19891885050575,85,85,85,170,0,0,0,0
1759990533.2008102,-0.23610817810179277,-0.3758548509763824,-64.81974792224986,-84.38365464383949,141,56,141,198,0,0,0,0
1759990539.3068342,-0.3741899445227939,-0.38869141408841523,-64.16013977438583,-83.87179364450871,198,28,198,226,0,0,0,0
1759990545.412783,-0.3691853525954973,-0.5200238761471977,-66.31928011478813,-84.17086550388107,255,0,255,255,0,0,0,0
1759990552.5204525,-1.3230120862356392,1.5889242034716107,-66.31228526170015,-83.75936352453851,-255,0,255,0,0,0,0,0
1759990558.625809,-0.9817770260334774,1.4008281331089603,-66.79118927022412,-84.98591729736386,-199,28,255,-29,0,0,0,0
1759990564.7318141,-0.6449591456606378,0.947105498084686,-67.19914167479216,-86.26946185271154,-142,56,255,-57,0,0,0,0
1759990570.8378348,-0.5563587545575983,0.9776117719890662,-64.18460220025389,-84.78676466774226,-85,85,255,-85,0,0,0,0
1759990576.943781,-0.6378914251154872,0.9828110024602403,-65.0049140837895,-84.55077620016796,-29,113,255,-114,0,0,0,0
1759990583.0497541,-0.540694718944897,0.9832315065787568,-65.65668772046449,-84.40167956427406,28,141,255,-142,0,0,0,0
1759990589.1558218,-0.17384585499227204,1.3403467540649803,-65.05271269728689,-84.30344249160558,85,170,255,-170,0,0,0,0
1759990595.2618694,0.05325048817964164,1.6543105398279576,-66.40508529338997,-84.1577133686741,141,198,255,-199,0,0,0,0
1759990601.3677762,0.6303649474800663,1.7057834287839544,-64.99069655551929,-85.50557836417714,198,226,255,-227,0,0,0,0
1759990607.47385,1.2582857141698496,1.5038672446099344,-66.34871927793681,-84.6623497699998,255,255,255,-255,0,0,0,0
1759990614.580925,0.02026447484044743,-2.6211647473114814,-65.28733043378936,-83.465073150079,255,-255,-255,255,0,0,0,0
1759990620.6868095,0.036777276042606936,-1.7399289665303024,-64.13305581616332,-84.2743540848285,198,-199,-199,198,0,0,0,0
1759990626.7927918,0.02764468853655007,0.03903966127016317,-67.04100054159889,-87.14804935594397,141,-142,-142,141,0,0,0,0
1759990632.8989115,-0.011617320915591407,-0.029359420539947223,-66.58444899624915,-84.92304940349963,85,-85,-85,85,0,0,0,0
1759990639.004794,-0.016501023245675348,0.009110015311053899,-65.85497148002787,-84.37855580698637,28,-29,-29,28,0,0,0,0
1759990645.1108084,-0.02041481928018986,-0.007034400779712787,-67.19592008378483,-84.72947972432846,-29,28,28,-29,0,0,0,0
1759990651.2168045,-0.025524015547904795,0.021291108909648616,-66.10740555349908,-84.02513203064474,-85,85,85,-85,0,0,0,0
1759990657.3230379,-0.0020160117687912414,-0.029200047688430705,-66.4593088523784,-85.41494254150342,-142,141,141,-142,0,0,0,0
1759990663.4291983,0.12205090213452126,1.9437869975450546,-65.73682947594041,-84.75186801057454,-199,198,198,-199,0,0,0,0
1759990669.5348282,0.11584458505114544,2.8574274057108546,-66.63285955475875,-87.12829641426634,-255,255,255,-255,0,0,0,0
1759990676.6418738,0.6172923574781591,-1.5154813010019903,-65.81167999450321,-85.05020172605575,0,-255,-255,-255,0,0,0,0
1759990682.747778,0.11911809462763866,-1.1675515683688218,-65.70491329891622,-85.78992001879016,0,-227,-199,-199,0,0,0,0
1759990688.8539088,-0.3294095213789949,-0.5507049118160389,-64.76700307270065,-83.40856684735601,0,-199,-142,-142,0,0,0,0
1759990694.9598136,-0.12251602987635563,-0.13403384999966542,-65.9010800882837,-83.70979128027135,0,-170,-85,-85,0,0,0,0
1759990701.065809,0.021660188714004283,0.03353224685622973,-64.95129421532774,-84.61070160596522,0,-142,-29,-29,0,0,0,0
1759990707.1717923,0.04066547001098378,0.019624547355227572,-65.21425091202954,-84.64228031014288,0,-114,28,28,0,0,0,0
1759990713.2778893,-0.012751668370343012,0.00843015930210483,-65.80409715586144,-84.0719915423731,0,-85,85,85,0,0,0,0
1759990719.38384,-0.01887362673026106,0.04640791164946625,-66.15663775930877,-84.5030490179461,0,-57,141,141,0,0,0,0
1759990725.4898367,-0.7359205577919152,0.05944354512376129,-67.64589930858978,-85.31294103831083,0,-29,198,198,0,0,0,0
