timestamp,px,py,vx,vy,pm1,pm2,pm3,pm4,vm1,vm2,vm3,vm4,dist_from_origin,dist_bin
1759387241.0032666,-0.0484966661256425,0.2746918951216912,-63.98849477215325,-84.57424215791556,-85,-170,170,-85,0,0,0,0,0.2789400721854933,6
1759375058.715285,1.164350025504654,-0.3456187502611145,-63.89974043636523,-84.05328167521922,255,255,-255,0,0,0,0,0,1.2145630088327006,29
1759327320.5223515,0.101595801347571,-0.0343943516836982,-63.81458215812876,-84.0209276249421,255,226,255,226,0,0,0,0,0.10725986331893689,2
1759382871.3072546,-0.1944131505427129,0.8102820948393209,-63.81487899710259,-83.99123155746746,-255,0,0,0,0,0,0,0,0.8332787926745416,20
1759362565.1073415,0.3421259994319537,-0.9993702431597216,-63.82769336547936,-83.685689141042,198,141,-255,198,0,0,0,0,1.0563101260522092,25
1759319314.656291,-0.4572996083832707,0.1256859747353036,-63.83828545409613,-84.02739966313698,0,-227,198,28,0,0,0,0,0.4742572045553511,11
1759321492.9002028,0.1697466276157666,1.3505401451298598,-64.17601069846422,-83.79035745246357,-255,0,0,-255,0,0,0,0,1.3611658977488044,32
1759351276.0852344,-0.2368180382079572,-1.521096221374819,-63.76473343999093,-84.22585134197804,255,-255,0,255,0,0,0,0,1.5394208319694187,37
1759396221.5494215,1.1255964235232954,0.5864317106216304,-63.80612079091651,-83.97291149127498,255,255,0,-255,0,0,0,0,1.2692003229872917,30
1759393483.7482786,-0.3012954814545441,0.9929828007455777,-63.95487999735035,-84.23549399382875,-255,255,255,255,0,0,0,0,1.037686758960264,25
1759368150.607292,-0.0918715611168837,-0.0476931189708081,-63.94339049444592,-84.21131989027488,141,-199,0,-142,0,0,0,0,0.10351336792519579,2
1759381277.0392213,-0.3059162122808324,-0.4622814821676247,-64.21460479619014,-84.60906403345379,56,-199,0,198,0,0,0,0,0.5543364480992994,13
