timestamp,px,py,vx,vy,pm1,pm2,pm3,pm4,vm1,vm2,vm3,vm4
1759307722.4424388,0.4470491010067078,-0.7626770732305073,-63.73973411390684,-83.02942596011977,255,0,0,0,0,0,0,0
1759307728.5482144,0.19454515832451483,-0.31507220930842117,-63.700558911355316,-84.17040581696929,198,-29,-29,-29,0,0,0,0
1759307734.6542377,0.0014337886431996176,0.006594111678662802,-64.09706935690029,-85.37121716114358,141,-57,-57,-57,0,0,0,0
1759307740.760296,0.00015281231035347586,-0.027258118297136383,-63.78284507711711,-84.61541114704677,85,-85,-85,-85,0,0,0,0
1759307746.8662648,0.00540270761588055,0.00013071935624199026,-63.42037251926073,-83.98006657831968,28,-114,-114,-114,0,0,0,0
1759307752.9722667,0.008461446743012857,-0.007420000808416752,-64.06265136044125,-83.97699278898827,-29,-142,-142,-142,0,0,0,0
1759307759.0783458,0.11070769667789959,-0.0384598084317881,-64.37474214295428,-83.99364126702966,-85,-170,-170,-170,0,0,0,0
1759307765.1842458,0.20118830148038133,-0.20463085325519614,-63.956435957717545,-83.96353444983043,-142,-199,-199,-199,0,0,0,0
1759307771.2902303,0.1862568568286896,-0.0774825711543529,-63.96402867183519,-84.02830136686288,-199,-227,-227,-227,0,0,0,0
1759307777.3963706,-0.014950248979088289,0.16361100109813484,-64.31334311840972,-83.73743336463673,-255,-255,-255,-255,0,0,0,0
1759307784.5032651,0.4040687127757722,-0.5111431601455234,-63.96971804969132,-83.87582303830655,0,-255,-255,-255,0,0,0,0
1759307790.609345,0.24145231900496794,-0.05126831686110861,-64.20536850447296,-83.97792899664147,-29,-227,-199,-255,0,0,0,0
1759307796.715282,0.15136418031948132,0.4272067074981578,-64.4123531441521,-83.5308279708807,-57,-199,-142,-255,0,0,0,0
1759307802.8212588,0.25290786746219196,0.6009489847243423,-64.01868820762309,-84.15392339948788,-85,-170,-85,-255,0,0,0,0
1759307808.9272542,0.3814793025210424,0.6618482175120317,-63.84397388445947,-83.96408879700834,-114,-142,-29,-255,0,0,0,0
1759307815.033224,0.3860214183407825,0.6534674736407126,-63.89434275585024,-83.9180460184551,-142,-114,28,-255,0,0,0,0
1759307821.1392887,0.23945390602490046,0.7231187974597815,-64.40543230217041,-83.63675436453404,-170,-85,85,-255,0,0,0,0
1759307827.2452536,0.2152641962018851,0.87214792533884,-63.81614010576733,-84.29086972723009,-199,-57,141,-255,0,0,0,0
1759307833.3512814,-0.0767667907480245,1.2706654603672318,-63.80530355923685,-83.7489108313554,-227,-29,198,-255,0,0,0,0
1759307839.4574325,-0.24253343872400226,1.5620430319422798,-63.77366610668276,-83.70071128953103,-255,0,255,-255,0,0,0,0
1759307846.564283,-0.2735533734531216,0.8499553115679052,-63.841852611401414,-83.59111916385979,-255,-255,0,-255,0,0,0,0
1759307852.6704612,0.11524343924886056,0.8087394786675497,-64.114106540749,-83.7207270504847,-199,-199,-29,-255,0,0,0,0
1759307858.7762582,0.4409874285903295,0.6979710656322421,-64.02440768307355,-84.29546600491561,-142,-142,-57,-255,0,0,0,0
1759307864.8822746,0.4442183254916997,0.7016887880475425,-63.92203291579301,-83.87270954441529,-85,-85,-85,-255,0,0,0,0
1759307870.9882023,0.4389326168117429,0.6951131603653161,-63.997615297925854,-84.09684627442736,-29,-29,-114,-255,0,0,0,0
1759307877.0945852,0.4486746875753843,0.7031723070050957,-63.78029407157504,-83.91033612442212,28,28,-142,-255,0,0,0,0
1759307883.2003388,0.5664740518264423,0.6230684433658448,-63.94353010200569,-84.10552694240964,85,85,-170,-255,0,0,0,0
1759307889.3029113,0.7116800120267569,0.4115773517283095,-63.54614600171253,-84.78199679311011,141,141,-199,-255,0,0,0,0
1759307895.409305,1.1126009376358053,0.1770722254049002,-64.08262620836446,-83.69435748542081,198,198,-227,-255,0,0,0,0
1759307901.5152502,1.472591657161659,-0.031831545230256955,-64.16795460780989,-83.92572933920674,255,255,-255,-255,0,0,0,0
1759307908.6222854,0.17577940431359507,1.1760816124079359,-65.06975624750496,-85.50615769927089,-255,0,0,-255,0,0,0,0
1759307914.728287,0.20047145462649496,1.2402002033992492,-64.06678960912356,-83.9929917685006,-255,0,0,-255,0,0,0,0
1759307920.8342981,0.21099612749346675,1.241029682864971,-64.07362132132332,-83.72795029773722,-255,0,0,-255,0,0,0,0
1759307926.9403,0.21111943663419636,1.2311089418058845,-64.03906437224636,-84.16256042729239,-255,0,0,-255,0,0,0,0
1759307933.0463028,0.21099334768467334,1.2293356789906773,-64.02452983806043,-84.17418778037816,-255,0,0,-255,0,0,0,0
1759307939.1522138,0.1890577870863126,1.2525530907594946,-64.27200887740878,-84.07691552312886,-255,0,0,-255,0,0,0,0
1759307945.2582924,0.20617916198664962,1.2525170647895327,-63.89760294520248,-83.72077202952322,-255,0,0,-255,0,0,0,0
1759307951.364245,0.20696396328952898,1.2392934015252965,-63.908578472088315,-83.7381532548194,-255,0,0,-255,0,0,0,0
1759307957.4703844,0.21279231551639338,1.227303666551021,-64.14476192391574,-84.10351628115897,-255,0,0,-255,0,0,0,0
1759307963.576495,0.20561163823514597,1.2421322348789265,-64.02148924797379,-83.97146263273928,-255,0,0,-255,0,0,0,0
1759307970.683507,-0.6254173743248325,-0.12215394102801506,-64.26406501720268,-84.03433268384224,-255,0,0,255,0,0,0,0
